Indicator,  Merchandise exports by product group and destination – annual (Million US dollar),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Reporting Economy,Product/Sector,Partner Economy,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa,SI3_AGG - MA - Manufactures,India,,,752,676,761,760,1013,1489,1376,1435,3369,1894,2428,2878,2209,2015,3256,2571,3110,3324,
Africa,SI3_AGG - MA - Manufactures,Japan,,,629,561,705,1439,1650,2026,1860,2040,2065,855,1251,1411,1082,1137,1241,1016,961,1101,
Africa,SI3_AGG - MA - Manufactures,Least-developed countries,,,2769,2679,3409,4066,4709,5423,7416,8412,11641,9949,11539,13761,14855,15694,16184,12980,13101,13762,
Africa,SI3_AGG - MA - Manufactures,Mexico,,,135,78,85,110,168,151,206,184,132,137,223,231,180,126,162,151,134,187,
Africa,SI3_AGG - MA - Manufactures,Middle East,,,1122,1172,1306,1333,1757,2512,2779,3692,5723,4242,4984,5914,5538,6603,7914,6593,6454,7417,
Africa,SI3_AGG - MA - Manufactures,Non-EU south-eastern Europe,,,166,190,192,266,346,429,612,734,1539,1235,1698,2033,1879,2619,2388,2105,2201,2312,
Africa,SI3_AGG - MA - Manufactures,Non-EU western Europe,,,811,267,405,468,614,651,667,894,1114,541,762,802,772,740,1006,756,957,998,
Africa,SI3_AGG - MA - Manufactures,North America,,,3618,3411,3831,4604,5737,5922,6367,7110,8590,6192,7918,9482,9034,8256,8322,7379,7834,8049,
Africa,SI3_AGG - MA - Manufactures,Other Africa,,,4972,5445,6886,7244,8567,10646,12483,14952,20184,19344,22967,24871,28281,31162,29447,30711,27185,27112,
Africa,SI3_AGG - MA - Manufactures,Other Asia,,,456,414,474,630,756,1127,2388,1080,1993,1502,1821,2209,1960,1743,1967,1759,1732,2040,
Africa,SI3_AGG - MA - Manufactures,Other CIS,,,29,14,11,17,45,35,32,62,56,67,84,137,139,137,123,75,78,77,
Africa,SI3_AGG - MA - Manufactures,Russian Federation,,,43,60,53,72,52,54,65,121,163,94,111,207,304,270,245,149,169,205,
Africa,SI3_AGG - MA - Manufactures,Six East Asian traders,,,1126,1006,1097,1992,1811,1956,2091,1959,2856,2230,2678,2840,2929,2932,3830,2778,3485,3899,
Africa,SI3_AGG - MA - Manufactures,South Africa,,,811,744,865,942,1723,1252,1270,2163,2683,2685,3243,3227,2595,3713,4055,3493,3424,3319,
Africa,SI3_AGG - MA - Manufactures,South and Central America and the Caribbean,,,471,507,467,539,768,818,901,1368,2264,1187,2202,2570,2724,2643,2158,1545,1602,1651,
Africa,SI3_AGG - MA - Manufactures,United States of America,,,3071,2933,3288,4024,4861,4972,5168,5583,7826,5736,7254,8748,8241,7619,7428,6642,7017,6797,
Africa,SI3_AGG - MACH - Chemicals,World,,,5180,5554,6031,6865,8285,9668,10531,12829,21109,13798,18105,20983,21220,21190,21615,18888,18642,19672,
Africa,SI3_AGG - MACH - Chemicals,Africa,,,1462,1758,2032,1765,2681,2733,3143,3738,5581,4575,5572,6268,7128,7624,7352,7824,7126,7754,
Africa,SI3_AGG - MACH - Chemicals,Asia,,,1084,1094,1157,1741,1644,2044,2044,2169,5210,3081,3912,4598,3878,3214,3549,2713,2813,2641,
Africa,SI3_AGG - MACH - Chemicals,Australia and New Zealand,,,83,101,110,116,159,184,179,128,234,109,120,183,161,194,202,108,115,122,
Africa,SI3_AGG - MACH - Chemicals,Brazil,,,125,150,175,245,334,307,342,589,1202,457,870,1318,1496,1606,1139,700,702,826,
Africa,SI3_AGG - MACH - Chemicals,China,,,43,79,79,137,183,216,213,247,451,525,481,408,547,451,414,229,223,359,
Africa,SI3_AGG - MACH - Chemicals,"Commonwealth of Independent States (CIS), including associate and former member States",,,42,51,39,48,8,17,21,25,31,24,43,112,107,86,99,97,75,112,
Africa,SI3_AGG - MACH - Chemicals,Europe,,,1593,1661,1664,2050,2376,2794,3355,4302,5846,3603,5028,5643,5713,6015,6622,5126,5121,5475,
Africa,SI3_AGG - MACH - Chemicals,Four East Asian traders,,,140,162,149,698,153,187,187,184,197,194,289,268,361,332,486,365,426,425,
Africa,SI3_AGG - MACH - Chemicals,India,,,623,539,614,585,799,931,982,1037,2878,1532,1876,2221,1638,1289,1327,1142,1222,878,
Africa,SI3_AGG - MACH - Chemicals,Japan,,,80,75,56,71,143,153,183,231,188,103,130,255,159,114,97,66,90,66,
Africa,SI3_AGG - MACH - Chemicals,Least-developed countries,,,700,624,799,932,1126,1333,1587,1740,2676,2274,2997,3555,3910,4098,4332,3721,3795,3964,
Africa,SI3_AGG - MACH - Chemicals,Mexico,,,17,13,25,38,55,43,36,29,50,59,64,35,23,25,38,32,44,76,
Africa,SI3_AGG - MACH - Chemicals,Middle East,,,328,293,290,327,379,505,512,608,1289,886,881,916,914,1034,1127,974,942,1054,
Africa,SI3_AGG - MACH - Chemicals,Non-EU south-eastern Europe,,,99,99,109,157,199,258,331,417,799,647,969,1135,1086,1385,1224,1002,1066,1232,
Africa,SI3_AGG - MACH - Chemicals,Non-EU western Europe,,,20,10,16,15,17,31,44,78,55,27,28,35,65,59,119,61,50,135,
Africa,SI3_AGG - MACH - Chemicals,North America,,,423,429,563,590,723,1046,858,1107,1475,822,1293,1710,1546,1287,1424,1193,1296,1339,
